Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.683541041546717,..,..,..,..,..,..,..,..,..,1.24127581790911,..,..,..,..,..,..,..,..,..,..,1.62677408138568,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.573550344475789,..,..,..,..,..,..,..,..,..,1.21320290239245,..,..,..,..,..,..,..,..,..,..,1.43612471991241,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.573550344475789,..,..,..,..,..,..,..,..,..,1.21726963034956,..,..,..,..,..,..,..,..,..,..,1.43612471991241,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1399241601865,..,..,..,..,..,..,..,..,..,1.08093200899218,..,..,..,..,..,..,..,..,..,..,1.35099061700558,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Moldova,MDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.81559991836548,2.89529991149902,3.00690007209778,3.08920001983643,3.19320011138916,3.29670000076294,3.37030005455017,3.44359993934631,3.52040004730225,3.57340002059937,3.5501999855,3.4841001034,3.5095999241,3.5553998947,3.5643000603,3.513,3.562,3.582,3.631,3.245,3.18,2.694,..,2.636,..,..,2.66,2.668,..,..,3.072,3.643,2.859,2.984,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,2.40000009536743,1.95829999446869,2.20830011367798,2.25,2.375,2.35999989509583,2.41669988632202,2.40000009536743,2.3199999332428,2.35999989509583,2.38459992408752,2.23079991340637,2.18519997596741,..,..,..,..,..,..,2.85710000991821,..,..,3,..,..,5.81,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.056,7.167,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Mongolia,MNG,0.910323262214661,..,..,..,..,1.37751376628876,..,..,..,..,1.72930002212524,..,..,..,..,..,..,..,..,..,..,9.81400012969971,9.53209972381592,..,..,..,..,..,..,..,2.5383999348,2.6949000359,2.6180000305,..,..,..,..,..,2.433,2.54,..,..,2.631,..,..,..,..,..,2.763,2.569,2.665,2.837,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.03,1.986,..,2.087,2.026,1.979,2.002,2.113,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Morocco,MAR,0.106313437223434,..,..,..,..,0.0824889317154884,..,..,..,..,0.0763999968767166,..,..,..,..,0.0763000026345253,..,..,..,..,..,0.0538999997079372,0.0644999966025352,..,..,..,..,0.217199996113777,0.214300006628037,..,..,..,..,0.2143999934,0.3628000021,..,..,0.46,..,..,..,0.483,..,..,0.515,..,..,0.564,..,0.62,0.62,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Mozambique,MOZ,0.0430237241089344,..,..,..,..,0.0560086369514465,..,..,..,..,0.0529999993741512,..,..,..,..,..,..,..,..,..,0.0254999995231628,0.0270000007003546,0.0263999998569489,..,..,0.0206000003963709,..,..,..,0.0275999996811152,0.0121790003,..,..,..,..,..,..,..,..,..,0.024,..,..,..,0.027,..,0.027,..,0.026,..,0.038,0.038,0.04,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Myanmar,MMR,0.0648148134350777,..,..,..,..,0.0849414393305779,..,..,..,..,0.114399999380112,..,..,..,..,..,..,..,..,..,..,0.20270000398159,..,..,..,0.269899994134903,..,..,..,0.0813999995589256,0.0784000009,..,..,..,..,0.293,..,..,..,0.297,0.302,..,..,..,0.355,0.368,0.402,0.423,0.457,0.469,0.501,0.581,0.612,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2313999981,0.2316000015,..,..,..,..,0.295,..,..,..,..,..,..,0.297,..,..,0.374,..,..,0.374,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.455,..,..,..,..,..,..,..,..,0.769,..,..,..,0.714,0.714,0.714,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Nepal,NPL,0.0130094522610307,..,..,..,..,0.0207599624991417,..,..,..,..,0.0186000000685453,..,..,..,..,0.0189999993890524,..,..,..,..,0.033500000834465,..,..,..,0.0313999988138676,0.0340999998152256,..,0.0509999990463257,0.0507999993860722,0.0537000000476837,0.0507000014,0.0621000007,0.0756999999,0.0737000033,..,0.04,0.04,0.04,0.04,..,..,0.052,..,..,0.209,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Netherlands,NLD,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.8,1.8,1.9,2,2,2.1,2.2,2.2,2.3,2.4,2.4,2.4,2.5,2.6,..,..,..,..,..,..,2.9,3.1,3.2,3.3,3.1,3.149,..,3.71,..,3.921,2.859,..,2.859,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.653400003910065,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.982,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,New Zealand,NZL,..,1.1,..,..,..,..,1.1,..,..,..,..,1.1,..,1.2,..,..,1.3,1.4,1.4,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,2,2,2,2.2,2.2,2.2,2.2,2.366,2.129,2.2,..,..,..,2.384,2.547,2.679,2.735,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Nicaragua,NIC,0.33981841802597,..,..,..,..,0.378109455108643,..,..,..,..,0.452699989080429,..,..,..,..,0.459600001573563,..,..,..,..,0.415600001811981,0.425500005483627,..,..,0.636900007724762,..,..,..,0.471300005912781,..,0.6571000218,..,..,..,..,0.82,..,0.856,..,..,..,..,..,0.374,..,0.495,0.485,0.515,0.63,0.679,0.699,0.818,0.864,0.901,0.897,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Niger,NER,0.0109993712976575,..,..,..,..,0.0157371610403061,..,..,..,..,0.0165999997407198,..,..,..,..,0.0164000000804663,..,..,..,..,..,..,..,..,0.0251000002026558,..,..,..,..,..,0.0184000004,..,0.0272000004,..,0.0225000009,..,0.024,0.035,0.033,..,..,..,0.033,..,0.024,..,..,..,0.019,..,0.019,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Nigeria,NGA,0.0171480365097523,..,..,..,..,0.0426094830036163,..,..,..,..,0.0504000000655651,..,..,..,..,0.0494999997317791,..,..,..,..,0.112999998033047,..,0.149000003933907,..,..,0.192399993538857,0.186700001358986,..,..,0.19200000166893,..,..,0.1850000024,0.1920000017,..,..,..,..,..,..,0.269,..,..,0.282,..,0.298,0.369,0.403,0.403,0.408,0.395,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,North America,NAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.83005363824465,..,..,..,..,..,..,..,..,..,2.518376235937,..,..,..,..,..,..,..,..,..,..,2.41389225817018,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.445,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Norway,NOR,1.2,..,1.2,1.1,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.9,1.9,1.9,2,2,2.1,2.1,2.2,2.2,2.3,2.5,..,..,..,2.6,2.6,2.6,2.7,2.8,2.8,2.5,2.7,2.8,2.9,3,3.1,3.1,..,..,3.77,3.889,4.076,4.159,4.159,3.739,4.281,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,OECD members,OED,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.98770014300161,..,..,..,..,..,..,..,..,..,2.56935152090479,..,..,..,..,..,..,..,..,..,..,2.78332318991191,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Oman,OMN,0.0304659493267536,..,..,..,..,0.0380348637700081,..,..,..,..,0.107900001108646,..,..,..,..,0.107400000095367,..,..,..,..,0.466800004243851,..,0.549099981784821,..,..,0.523299992084503,..,0.833500027656555,..,0.883099973201752,0.781,..,..,0.8841999769,..,1.106,..,0.804,0.853,0.858,1.249,..,1.257,..,1.319,1.629,1.753,1.84,1.901,1.988,2.048,2.223,2.429,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Other small states,OSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.980248566406503,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.52441527026908,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.276101636077587,..,..,..,..,..,..,..,..,..,0.365475563152012,..,..,..,..,..,..,..,..,..,..,0.354298064735614,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Pakistan,PAK,0.185295850038528,..,..,..,..,..,..,..,..,..,0.23199999332428,..,..,..,..,0.232600003480911,..,..,..,..,0.285199999809265,0.343699991703033,0.342299997806549,..,..,..,0.35139998793602,..,..,..,0.461800009,0.4796999991,0.515,0.528,0.542,0.557,0.578,0.595,0.611,0.627,0.644,0.658,..,..,0.739,0.8,..,0.777,0.797,0.813,0.827,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.444,..,1.58,..,..,..,..,..,1.3,..,..,1.45,1.381,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Panama,PAN,0.356127887964249,..,..,..,..,0.478127390146255,..,..,..,..,0.613499999046326,..,..,..,..,0.596599996089935,..,..,..,..,..,0.992999970912933,..,..,1.02079999446869,1.00600004196167,..,..,1.79330003261566,..,1.141,1.15,1.173,1.208,1.154,1.197,1.237,1.235,1.225,1.266,1.502,1.278,1.372,1.379,1.36,1.389,1.391,1.346,1.428,1.357,1.459,1.554,1.662,1.65,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Papua New Guinea,PNG,..,..,..,..,..,0.0791433900594711,..,..,..,..,0.0859000012278557,..,..,0.0560999996960163,..,0.0854000002145767,..,..,..,..,0.0621999986469746,0.0621999986469746,..,..,..,0.162200003862381,..,..,..,..,0.0727000013,..,..,..,..,..,..,..,0.073,..,0.052,..,..,..,..,..,..,..,0.053,..,0.058,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Paraguay,PRY,0.533659040927887,..,..,..,..,0.532916843891144,..,..,..,..,0.43529999256134,..,..,..,..,0.438899993896484,..,..,..,0.563199996948242,..,0.578599989414215,..,..,0.700600028038025,0.675000011920929,..,..,0.639699995517731,..,0.6499999762,0.8126999736,..,..,0.280099988,0.73,..,1.098,..,..,1.17,..,1.107,..,..,..,..,..,..,..,..,..,1.227,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Peru,PER,0.509616374969482,..,..,..,..,0.60451728105545,..,..,..,..,0.520699977874756,..,..,..,..,0.526300013065338,..,..,..,0.691799998283386,0.715799987316132,0.76010000705719,0.846300005912781,0.901700019836426,0.907500028610229,0.928600013256073,0.984099984169006,0.983399987220764,0.965200006961823,1.03480005264282,1.0644999743,..,1.0299999714,..,..,0.98,..,0.932,..,1.167,..,..,..,..,..,..,..,..,..,0.92,0.92,..,1.132,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Philippines,PHL,0.145961925387383,..,..,..,..,..,..,..,..,..,0.110799998044968,..,..,..,..,0.112700000405312,..,..,..,..,0.128199994564056,0.149900004267693,..,..,0.153600007295609,0.153600007295609,..,..,..,0.124200001358986,0.1186999977,..,0.1084000021,..,..,..,1.23,1.24,..,..,0.585,..,1.15,..,1.153,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Poland,POL,1,1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.3,2.3,2.4,2.4,2.3,2.3,2.2,2.3,2.3,2.469,..,1.97,2.012,..,2.144,..,2.068,2.199,2.219,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Portugal,PRT,0.8,0.8,0.9,0.8,0.8,0.9,0.9,0.9,1,0.9,0.9,1,1,1.1,1.2,1.2,1.3,1.5,1.7,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.6,2.7,2.8,2.8,2.8,2.9,2.9,2.9,2.9,3,3,3.1,3.1,3.2,3.2,3.359,3.423,3.496,3.443,3.502,3.578,3.66,3.755,3.868,4.003,4.1,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Post-demographic dividend,PST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.32427119223284,..,..,..,..,..,..,..,..,..,2.81393054173243,..,..,..,..,..,..,..,..,..,..,3.06291307671044,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.12589115497594,..,..,..,..,..,..,..,..,..,0.173141290391664,..,..,..,..,..,..,..,..,..,..,0.212196962079553,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Qatar,QAT,..,..,..,..,..,..,..,..,..,..,0.513499975204468,..,..,..,..,..,..,..,..,..,..,0.737900018692017,..,..,..,..,1.67560005187988,..,..,..,1.5,..,..,..,..,..,1.26,1.26,..,..,..,2.217,..,..,..,2.645,2.757,..,5.299,5.818,7.739,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Romania,ROM,1.26924955844879,..,..,..,..,1.31581437587738,..,..,..,..,1.18499994277954,1.20759999752045,..,1.24210000038147,..,1.31809997558594,1.33210003376007,1.35520005226135,1.37699997425079,1.41349995136261,1.4757000207901,1.5407999753952,1.63469994068146,1.97239995002747,1.72389996051788,1.76240003108978,1.78349995613098,1.78980004787445,1.80519998073578,1.81149995326996,1.8018000126,1.8158999681,1.8659000397,1.7695000172,1.7647999525,1.768,1.81,1.791,1.836,1.909,1.889,1.887,1.925,1.905,..,..,1.9166,..,..,..,2.385,2.386,2.448,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.87089991569519,3.93899989128113,4.00419998168945,4.03970003128052,4.08519983291626,4.070400238,4.0455999374,3.8717000484,3.9723000526,3.8350999355,3.859,4.096,4.155,4.209,4.194,4.213,4.172,4,4.252,4,4,4.309,..,..,..,4.3089,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Rwanda,RWA,0.00765864318236709,..,..,..,..,0.0138234365731478,..,..,..,..,0.0165999997407198,..,..,..,..,0.0166999995708466,..,..,..,..,0.0318000018596649,0.0308999996632338,..,0.0286999996751547,..,0.0269000008702278,..,..,..,0.0401000007987022,..,..,..,0.0401000008,..,..,..,..,..,..,..,..,0.019,..,0.051,0.024,..,..,0.052,0.056,0.056,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Samoa,WSM,0.44144144654274,..,..,..,..,..,..,..,..,..,0.350100010633469,..,..,..,..,..,..,..,..,..,0.361299991607666,0.404300004243851,..,..,..,..,0.279500007629395,..,..,0.207399994134903,..,..,0.3646999896,..,..,..,0.344,..,0.33,0.702,..,..,..,0.281,..,0.27,..,..,0.452,..,0.479,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.05999994277954,2.21799993515015,2.18099999427795,2.24699997901917,2.16599988937378,2.28699994087219,2.3989999294281,2.51900005340576,2.53800010681152,2.42300009727478,47.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.883,5.133,5.1,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Sao Tome and Principe,STP,0.299684554338455,..,..,..,..,..,..,..,..,..,0.232899993658066,..,..,..,..,..,..,..,..,..,0.438199996948242,0.418700009584427,..,0.537000000476837,..,..,..,..,..,0.545799970626831,0.5303999782,..,0.3278999925,..,..,..,0.467,..,..,..,..,..,..,..,0.491,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Saudi Arabia,SAU,0.0611042939126492,..,..,..,..,0.106405183672905,..,..,..,..,0.13400000333786,..,..,..,..,..,..,..,..,..,..,0.549600005149841,..,..,..,..,1.34560000896454,..,..,..,1.4334000349,..,..,1.3351000547,..,..,..,1.66,..,..,0.675,0.634,..,..,1.37,..,..,1.622,2.021,2.044,2.386,2.477,2.491,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Senegal,SEN,0.0439284592866898,..,..,..,..,0.0512961931526661,..,..,..,..,0.0632999986410141,..,..,..,..,0.0614000000059605,..,..,..,..,..,0.0788000002503395,0.0766000002622604,..,..,..,..,..,..,..,0.0549000017,..,0.0675999969,..,0.0956000015,0.075,0.093,0.093,0.095,..,..,..,..,..,0.057,..,..,..,0.059,..,0.059,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.99,2.035,..,2.114,2.112,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Seychelles,SYC,0.311750590801239,..,..,..,..,..,..,..,..,..,0.223900005221367,..,..,..,..,0.218099996447563,..,..,..,..,..,..,..,0.406800001859665,..,0.445100009441376,..,..,..,..,..,5.7887001038,..,1.0274000168,..,..,1.324,..,..,..,..,..,..,..,1.513,1.284,0.926,1.11,0.843,1.226,1.19,1.231,1.067,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Sierra Leone,SLE,0.0473003126680851,..,..,..,..,0.0592836551368237,..,..,..,..,0.0560999996960163,..,..,..,..,0.0538999997079372,..,..,..,..,0.0577999986708164,0.0527000017464161,..,..,0.0746999979019165,..,..,..,..,..,..,..,..,..,..,..,0.073,..,..,..,..,..,..,..,0.033,..,..,..,0.016,..,0.022,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Singapore,SGP,0.420413136482239,..,..,..,..,0.526232123374939,..,..,..,..,0.656899988651276,..,..,..,..,0.666800022125244,..,..,..,..,0.850899994373322,0.876800000667572,..,..,..,0.998199999332428,0.72299998998642,..,1.11099994182587,..,1.2657999992,1.320299983,1.3478000164,1.3847999573,1.410599947,..,..,..,1.627,1.359,..,1.4,..,1.5,1.505,1.56,1.582,1.665,1.747,1.833,1.921,1.748,1.835,1.95,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.2,3.1,3.1,3.179,3.12,..,..,3,..,3.296,3.354,3.262,3.32,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.77100002765656,..,1.8425999879837,..,1.8610999584198,1.87919998168945,1.88209998607636,2.00440001487732,2.02360010147095,2.06319999694824,1.9901000261,2.0785999298,2.0906999111,2.030299902,2.1895000935,2.121,2.135,2.147,2.178,2.135,2.17,2.194,2.253,..,..,2.4,2.424,..,2.473,..,2.542,2.516,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Small states,SST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8302763170268,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.27616260047787,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Solomon Islands,SLB,0.186440676450729,..,..,..,..,..,..,..,..,..,0.204999998211861,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.135199993848801,..,..,0.151999995112419,..,..,0.1569000036,..,..,0.14,..,..,..,0.127,..,..,..,0.126,..,0.186,..,..,..,0.224,0.224,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Somalia,SOM,0.0237588658928871,..,..,..,..,0.0271036867052317,..,..,..,..,0.0366999991238117,..,..,..,..,0.0379999987781048,..,..,..,..,0.0461000017821789,0.0410000011324883,..,..,0.0714000016450882,..,..,..,..,..,..,..,..,0.0421999991,..,..,..,0.04,..,..,..,..,..,..,..,..,0.035,..,..,..,0.035,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,South Africa,ZAF,..,..,..,..,..,0.487948775291443,..,..,..,..,..,..,..,..,..,0.538600027561188,..,..,0.551199972629547,..,..,..,..,..,..,..,..,0.612600028514862,..,..,..,..,0.6243000031,..,..,..,0.593,..,..,..,..,0.692,..,..,0.77,..,..,..,..,..,..,0.758,..,0.776,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,South Asia,SAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.03305798667597,..,..,..,..,..,..,..,..,..,0.510616780521238,..,..,..,..,..,..,..,..,..,..,0.674652371694733,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,South Asia (IDA & IBRD),TSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.03305798667597,..,..,..,..,..,..,..,..,..,0.510616780521238,..,..,..,..,..,..,..,..,..,..,0.674652371694733,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Spain,ESP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.784,3.887,3.946,4.015,4.073,4.073,4.13,4.178,4.241,4.308,4.393,4.414,4.537,4.644,4.733,4.624,4.682,4.772,4.89,4.991,5.08,4.874,4.894,4.949,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Sri Lanka,LKA,0.222570538520813,..,..,..,..,0.171891793608665,..,..,..,..,0.169400006532669,..,..,..,..,0.16949999332428,..,..,..,..,0.139400005340576,0.133799999952316,0.13400000333786,..,..,0.18129999935627,0.137600004673004,..,..,0.146099999547005,..,0.143,0.17,0.213,0.19,0.228,0.285,0.311,0.352,0.379,0.428,0.447,..,..,0.545,0.492,0.492,0.523,0.587,0.642,0.68,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,St. Kitts and Nevis,KNA,0.235294118523598,..,..,..,..,..,..,..,..,..,0.311800003051758,..,..,..,..,..,..,..,..,..,0.36039999127388,..,..,..,0.458000004291534,..,..,..,..,..,0.683,0.683,0.738,0.744,0.907,1.045,1.091,1.116,1.07,1.07,1.0952,1.167,..,..,..,..,..,..,..,..,..,..,..,..,..,..
